,Unnamed: 0,Unnamed: 0.1,topic_1,topic_2,topic_3,topic_4,topic_5,topic_6,privacy,activity,satisfaction,lat_acc,lat_rej,id,pol_inclination
33,33.0,33.0,-0.024168422815649532,-0.7698174914087764,-0.4981894065999002,-0.6870974658856275,-0.8789069556610167,-0.8555988799689563,0.2838383166666666,0.4333333333333333,-129.83959350835315,0.6541904891951983,1.345809510804802,33.0,-0.1882379967818791
34,34.0,34.0,-0.3113032410427621,-0.7893466305075485,-0.7159007264634867,-0.5564932902776718,-0.5735019302925014,-0.5278381664497026,0.26959705,0.425,-134.23783420857143,0.7226404141150055,1.2773595858849938,34.0,0.026452868498986887
35,35.0,35.0,0.0829056102065443,-0.3352640350914378,-0.5530586892220862,-0.2869807562593892,-0.6727655463620281,-0.5484601261577917,0.2966441733333332,0.5916666666666667,-97.0166968747751,0.9299113381946085,1.0700886618053926,35.0,-0.11713155244537155
36,36.0,36.0,-0.7649941248830392,-0.549765795435795,-0.805494269711672,-0.4495680087667539,-0.5735850229447436,-0.7662333052695955,0.38782024999999987,0.5166666666666665,-92.09098262603175,0.6999572543765167,1.3000427456234833,36.0,0.05514464217490218
37,37.0,37.0,-0.7293060238899368,-0.7485736362785737,-0.3663410716074183,-0.511708839330253,-0.7088771063486679,-0.8439167278592198,0.3145823166666666,0.39999999999999997,-106.31592271316794,0.7479543970394013,1.252045602960599,37.0,-0.03671365696036865
38,38.0,38.0,-0.2139088920750897,-0.41416555460388915,-0.5190449458313268,-0.6678144061144747,-0.5716460295185397,-0.6198935585874078,0.3262133666666666,0.5333333333333332,-113.56830691128312,0.794025050091265,1.2059749499087378,38.0,-0.11870576695168615
39,39.0,39.0,-0.01682316507084099,-0.6594861363271654,-0.17823125631710987,-0.6908690649067845,-0.732958836434924,-0.46108441956439566,0.4961871666666667,0.4246101666666666,-107.38822716699075,0.7021231710407297,1.2978768289592708,39.0,-0.1717286271984979
40,40.0,40.0,-0.42883029087447616,-0.6245700258189575,-0.24649590121820494,-0.5026899663071971,-0.7306524049412885,-0.6668401450528374,0.32987008888888875,0.28333333333333327,-108.22629318957682,0.6115756459073425,1.3884243540926569,40.0,-0.10004771639828076
41,41.0,41.0,-0.5083538779096293,-0.8072489777855955,-0.4584950718418388,-0.6051550631038779,-0.8313676777061544,-0.5673030457134192,0.09961973333333334,0.425,-84.50142044881606,0.7148035280018638,1.2851964719981377,41.0,-0.0382879764977313
42,42.0,42.0,-0.5125562659699641,-0.5334904513872719,-0.6215571025376034,-0.3728068946574816,-0.5959705664961649,-0.6635675098217089,0.4606681333333332,0.425,-100.25597850423942,0.7528278144348395,1.2471721855651607,42.0,0.005876474819913995
43,43.0,43.0,-0.4720883184651175,-0.5878472411275889,-0.7677169497272159,-0.5698414232967655,-0.004746647653591285,-0.5303075314547085,0.4416666666666666,0.2886009999999999,-102.50672510855168,0.7315667968066847,1.2684332031933148,43.0,0.1204594844858095
44,44.0,44.0,-0.5843226178586516,-0.7373635922961966,-0.6623772548687408,-0.17628849638089802,-0.6207409764358145,-0.7349179395637321,0.32611076666666666,0.50732515,-119.30524432875012,0.6552333254786079,1.3447666745213924,44.0,0.07535267544052403
45,45.0,45.0,-0.34218545646731835,-0.7027332534357041,-0.5687684677015222,-0.19398075319431632,-0.525833051879011,-0.5745050324126103,0.15742008333333324,0.5916666666666667,-166.34459500239424,0.861912568706405,1.1380874312935962,45.0,0.05322805668643448
46,46.0,46.0,-0.07360517415333856,-0.6967750523007319,-0.7416666666666667,-0.32744085522904437,-0.31838437689051674,-0.41561090171961673,0.6228650833333331,0.3333333333333333,-117.47221075942116,0.8158778295512982,1.1841221704487015,46.0,0.07510179321359321
47,47.0,47.0,-0.35971599498616874,-0.34688276856080735,-0.10116668348288282,-0.07995481033246822,-0.3887930712297576,-0.5537621452216925,0.547131675,0.575,-103.37401198789168,0.7577730800775604,1.2422269199224376,47.0,-0.03579076329234322
