,topic,post_stance,author_id,num_of_agents_received,num_of_agents_not_received,num_of_spreader_agents,num_of_disinterested_agents,network_polarization,net_polarization2,network_homophily,network_homophily2,network_polarity,satisfaction,activity,user_preference,[met_stance_sim,met_modularity,met_comm_var,met_edge_rat
45,4,-0.668421,102,75,25,10,63,0.421287,0.39683018204034487,-0.019063529485237863,0.025014579221245344,0.003099,-0.10241857906329242,0.34011775963471924,0.2782542038214582,0.5472146182685639,0.5367183382699329,0.1612440206290689,0.3374340949033392
46,2,0.544065,101,80,20,13,67,0.42165,0.3971569794259658,-0.016925667961835773,0.025014579221245344,0.003261,-0.11271277253686307,0.3409716295376319,0.2767096407146621,0.5472146182685639,0.5367183382699329,0.1612440206290689,0.3374340949033392
47,1,0.59813,101,74,26,12,62,0.422479,0.3980497984558824,-0.01726315625079309,0.02149478202275187,0.003185,-0.12422327213233234,0.34665677400597844,0.27387853027776893,0.5472146182685639,0.5367183382699329,0.1612440206290689,0.3374340949033392
48,4,0.290726,102,75,25,10,63,0.422964,0.39862659715169546,-0.018487933686582705,0.02149478202275187,0.003004,-0.1315469107677153,0.348091371093357,0.2714361679530655,0.5472146182685639,0.5367183382699329,0.1612440206290689,0.3374340949033392
49,1,0.540113,101,67,33,12,55,0.423736,0.39943036195541404,-0.018715602057877315,0.02149478202275187,0.003017,-0.1425917515444143,0.3525822254622891,0.269389843195784,0.5472146182685639,0.5367183382699329,0.1612440206290689,0.3374340949033392
50,5,0.557188,100,75,25,12,63,0.424535,0.40032067886255945,-0.01811860924931682,0.021919099256351205,0.002944,-0.14111188762277768,0.3508785206079202,0.2703001266909296,0.5472146182685639,0.5367183382699329,0.1612440206290689,0.3374340949033392
51,2,0.632903,101,73,27,11,61,0.425139,0.4010523744235228,-0.017182663138441506,0.021919099256351205,0.002698,-0.15318851601004846,0.35730382000921185,0.26864487329287134,0.5472146182685639,0.5367183382699329,0.1612440206290689,0.3374340949033392
52,3,0.499511,101,70,30,12,58,0.425513,0.40137917180914373,-0.017182663138441506,0.021919099256351205,0.002536,-0.16460494918156948,0.36264159047291145,0.26722107086568686,0.5472146182685639,0.5367183382699329,0.1612440206290689,0.3374340949033392
53,4,0.44505,102,79,21,12,66,0.426042,0.40209330781299446,-0.021760997984301634,0.021919099256351205,0.002596,-0.16720574627973564,0.36349485260883374,0.26642467727345387,0.5472146182685639,0.5367183382699329,0.1612440206290689,0.3374340949033392
54,4,0.677365,102,79,21,12,66,0.426578,0.4027963993270607,-0.021760997984301634,0.021919099256351205,0.002645,-0.17109421759349738,0.364088661346698,0.2663512951373977,0.5472146182685639,0.5367183382699329,0.1612440206290689,0.3374340949033392
55,4,-0.412359,102,76,24,11,64,0.425965,0.4021436454766193,-0.021760997984301634,0.021919099256351205,0.002683,-0.16700391269289636,0.36306792639524155,0.2675581600703612,0.5472146182685639,0.5367183382699329,0.1612440206290689,0.3374340949033392
56,1,-0.654638,101,76,24,12,64,0.425079,0.40116325331975655,-0.021760997984301634,0.021919099256351205,0.003168,-0.1606152672734291,0.3604030885311639,0.2690120176755392,0.5472146182685639,0.5367183382699329,0.1612440206290689,0.3374340949033392
57,2,0.404836,101,73,27,11,61,0.425541,0.4017851057416133,-0.021760997984301634,0.021919099256351205,0.002975,-0.16838883934462653,0.3659870166865037,0.26801629196920435,0.5472146182685639,0.5367183382699329,0.1612440206290689,0.3374340949033392
58,3,0.640191,101,70,30,12,58,0.425922,0.4021119031272342,-0.021760997984301634,0.021919099256351205,0.002813,-0.1830723355150688,0.3700725603758241,0.2675538009233761,0.5472146182685639,0.5367183382699329,0.1612440206290689,0.3374340949033392
59,5,-0.244966,102,77,23,11,65,0.425147,0.40121321031677665,-0.01957053177711458,0.021919099256351205,0.002732,-0.18206542851609978,0.37180538711603167,0.2688150471869831,0.5472146182685639,0.5367183382699329,0.1612440206290689,0.3374340949033392
60,3,-0.33599,100,77,23,11,65,0.424488,0.40052357768936664,-0.020467595684144257,0.01991835392750495,0.002697,-0.184316021558171,0.3730254560480705,0.2679535283520317,0.5472146182685639,0.5367183382699329,0.1612440206290689,0.3374340949033392
61,3,-0.56165,100,77,23,11,65,0.423832,0.39980974102741196,-0.0190017977519485,0.01991835392750495,0.002637,-0.18808726547402854,0.37481304245583763,0.26791792086105526,0.5472146182685639,0.5367183382699329,0.1612440206290689,0.3374340949033392
62,3,0.6263,100,77,23,11,65,0.424491,0.40053051200451967,-0.020467595684144257,0.01991835392750495,0.002704,-0.1838717920597891,0.3743444405140898,0.26838712421056987,0.5472146182685639,0.5367183382699329,0.1612440206290689,0.3374340949033392
63,3,-0.213641,100,77,23,11,65,0.423851,0.39985400241943514,-0.0190017977519485,0.01991835392750495,0.002681,-0.1853062981762939,0.3748271308053521,0.267400008870764,0.5472146182685639,0.5367183382699329,0.1612440206290689,0.3374340949033392
64,3,-0.763305,100,85,15,14,70,0.423011,0.3988736102625724,-0.01882624533650836,0.01991835392750495,0.002519,-0.19267456040930364,0.3759914861451579,0.2670137101976249,0.5472146182685639,0.5367183382699329,0.1612440206290689,0.3374340949033392
65,4,-0.286084,100,75,25,11,63,0.42228,0.3980927232982915,-0.02112994263745184,0.01991835392750495,0.002393,-0.1930161041795302,0.3741269958662459,0.26764784136267333,0.5472146182685639,0.5367183382699329,0.1612440206290689,0.3374340949033392
66,2,0.563881,101,62,38,10,52,0.422723,0.39866461872312814,-0.02112994263745184,0.01991835392750495,0.00215,-0.2045168769627017,0.37684125403226537,0.266386779226751,0.5472146182685639,0.5367183382699329,0.1612440206290689,0.3374340949033392
67,2,-0.29248,100,73,27,10,61,0.422143,0.39790153184341714,-0.024005334518781927,0.01991835392750495,0.001773,-0.20155443940606743,0.38106061034294497,0.26798909192901643,0.5472146182685639,0.5367183382699329,0.1612440206290689,0.3374340949033392
68,3,0.741907,101,74,26,12,62,0.422343,0.39831002857544334,-0.024948024948024956,0.01991835392750495,0.001854,-0.20374181315202208,0.38552087636236243,0.26723627712319115,0.5472146182685639,0.5367183382699329,0.1612440206290689,0.3374340949033392
69,3,-0.767847,101,75,25,12,63,0.421899,0.3978198324970119,-0.026286478057473823,0.01991835392750495,0.001692,-0.1967439364391233,0.3809477540322653,0.2700537626895342,0.5472146182685639,0.5367183382699329,0.1612440206290689,0.3374340949033392
70,2,-0.57935,101,76,24,12,64,0.421395,0.39732963641858055,-0.02587742273441595,0.024923307692515866,0.001692,-0.17904724175735415,0.3762823676244983,0.2745465743400196,0.5472146182685639,0.5367183382699329,0.1612440206290689,0.3374340949033392
71,1,0.713105,101,69,31,11,57,0.42162,0.397493035111391,-0.02587742273441595,0.024923307692515866,0.001692,-0.19603938131506723,0.3826290986924595,0.2712223601884728,0.5472146182685639,0.5367183382699329,0.1612440206290689,0.3374340949033392
72,5,0.36473,101,81,19,13,68,0.422209,0.3981227801500857,-0.024550322930439194,0.024923307692515866,0.001878,-0.1891006603511282,0.38116193267304205,0.2746781508611496,0.5472146182685639,0.5367183382699329,0.1612440206290689,0.3374340949033392
73,5,0.054746,100,75,25,11,63,0.422785,0.39878970689599935,-0.026005285472555498,0.024923307692515866,0.002091,-0.1895966228106752,0.379890846265275,0.2747341519938357,0.5472146182685639,0.5367183382699329,0.1612440206290689,0.3374340949033392
74,2,0.617693,101,76,24,12,64,0.423295,0.3992799029744307,-0.026005285472555498,0.024923307692515866,0.002091,-0.208314608571193,0.3853841520905178,0.2703188124307289,0.5472146182685639,0.5367183382699329,0.1612440206290689,0.3374340949033392
75,1,0.529767,101,69,31,11,57,0.423536,0.39944330166724124,-0.024873184173992667,0.024923307692515866,0.002091,-0.22091809962836664,0.3914831492675106,0.2678781722886598,0.5472146182685639,0.5367183382699329,0.1612440206290689,0.3374340949033392
76,5,-0.549826,101,81,19,13,68,0.422959,0.3988256601081085,-0.024743319455966688,0.024923307692515866,0.001894,-0.23165753383779802,0.39193526699058423,0.26398301341209945,0.5472146182685639,0.5367183382699329,0.1612440206290689,0.3374340949033392
77,5,-0.411094,100,75,25,11,63,0.422292,0.39801078477641405,-0.024743319455966688,0.024923307692515866,0.001572,-0.22791629977630937,0.3929760708740792,0.2656117322470509,0.5472146182685639,0.5367183382699329,0.1612440206290689,0.3374340949033392
78,2,0.449838,101,76,24,12,64,0.422673,0.3984192815084402,-0.024743319455966688,0.020026780774504253,0.001653,-0.241656939846428,0.4007231717529117,0.26184908710141985,0.5472146182685639,0.5367183382699329,0.1612440206290689,0.3374340949033392
79,2,0.272841,101,75,25,12,63,0.423054,0.39881427679309245,-0.026342866163177058,0.020026780774504253,0.001747,-0.24852006583348304,0.40923722694515047,0.2590959306546062,0.5472146182685639,0.5367183382699329,0.1612440206290689,0.3374340949033392
80,2,0.442166,101,77,23,10,65,0.423428,0.3992457699295131,-0.026279921868978276,0.018062206640936485,0.001967,-0.25932091512690264,0.416349060925733,0.25673580195989204,0.5472146182685639,0.5367183382699329,0.1612440206290689,0.3374340949033392
81,3,-0.665592,100,81,19,13,68,0.422715,0.39842877646546077,-0.026279921868978276,0.018062206640936485,0.001644,-0.25541174684211304,0.4211643182072863,0.2583961873967853,0.5472146182685639,0.5367183382699329,0.1612440206290689,0.3374340949033392
82,4,-0.258244,100,84,16,13,70,0.422074,0.39761178300140854,-0.02341314833316499,0.018062206640936485,0.00132,-0.25293610353420737,0.4177778317995194,0.25900382758402524,0.5472146182685639,0.5367183382699329,0.1612440206290689,0.3374340949033392
83,2,-0.783994,102,77,23,12,65,0.42145,0.3967947895373562,-0.026168423772319576,0.018062206640936485,0.001805,-0.2683897953800234,0.42081846189660665,0.2573464420257728,0.5472146182685639,0.5367183382699329,0.1612440206290689,0.3374340949033392
84,3,-0.746354,100,81,19,13,68,0.420766,0.39597779607330397,-0.026168423772319576,0.018062206640936485,0.001482,-0.2641227470443784,0.4254824842267038,0.2590214886277145,0.5472146182685639,0.5367183382699329,0.1612440206290689,0.3374340949033392
85,4,-0.499824,100,84,16,13,70,0.420154,0.3951608026092516,-0.026168423772319576,0.01006737436464879,0.001158,-0.25907125290429517,0.42340590267330575,0.25946165166516255,0.5472146182685639,0.5367183382699329,0.1612440206290689,0.3374340949033392
86,2,-0.694017,102,77,23,12,65,0.419547,0.39434380914519934,-0.026168423772319576,0.01006737436464879,0.001644,-0.2724926762399401,0.427368151216995,0.2587236424955727,0.5472146182685639,0.5367183382699329,0.1612440206290689,0.3374340949033392
87,3,0.714531,100,81,19,13,68,0.420217,0.3951608026092517,-0.026168423772319576,0.01006737436464879,0.001967,-0.27646629262921424,0.42542293998747976,0.2570372240489708,0.5472146182685639,0.5367183382699329,0.1612440206290689,0.3374340949033392
88,4,-0.281336,100,84,16,13,70,0.419608,0.3943438091451994,-0.026168423772319576,0.01006737436464879,0.001644,-0.2734766304701759,0.42529171571563523,0.2578479985982079,0.5472146182685639,0.5367183382699329,0.1612440206290689,0.3374340949033392
89,2,-0.419458,102,77,23,12,65,0.419016,0.3935268156811471,-0.018260701491669088,0.01006737436464879,0.002129,-0.28143207221774874,0.4296672924146643,0.2574391892609254,0.5472146182685639,0.5367183382699329,0.1612440206290689,0.3374340949033392
90,3,-0.431405,100,81,19,12,68,0.418539,0.39291012296238104,-0.01938504771945504,0.009513653501923248,0.001842,-0.2814527967219096,0.43442191668650904,0.25936034108131384,0.5472146182685639,0.5367183382699329,0.1612440206290689,0.3374340949033392
91,4,-0.239814,100,81,19,12,68,0.418071,0.39227998614394766,-0.01938504771945504,0.009513653501923248,0.00174,-0.2826518289930608,0.4327466691136934,0.25974708937650565,0.5472146182685639,0.5367183382699329,0.1612440206290689,0.3374340949033392
92,4,-0.768352,100,83,17,13,67,0.417366,0.39140433811217157,-0.01480629160853284,0.009513653501923248,0.001798,-0.2819319685746604,0.43541824095835374,0.2606366201670743,0.5472146182685639,0.5367183382699329,0.1612440206290689,0.3374340949033392
93,5,0.279981,102,75,25,11,63,0.41805,0.392159209485739,-0.01480629160853284,0.009513653501923248,0.001413,-0.28709901074294525,0.4374898331913633,0.25889021388875716,0.5472146182685639,0.5367183382699329,0.1612440206290689,0.3374340949033392
94,2,0.388848,101,82,18,12,68,0.418545,0.39264940556417033,-0.01628259534364164,0.009513653501923248,0.001413,-0.29672124150885676,0.4376499399874799,0.2559924837916698,0.5472146182685639,0.5367183382699329,0.1612440206290689,0.3374340949033392
95,5,-0.337417,102,75,25,11,63,0.417856,0.3918905181177942,-0.01628259534364164,0.009513653501923248,0.001794,-0.2903043225929992,0.43969896523019836,0.2582838381606018,0.5472146182685639,0.5367183382699329,0.1612440206290689,0.3374340949033392
96,2,-0.673964,101,83,17,13,69,0.417321,0.3913186226929576,-0.012487544806346017,0.009513653501923248,0.001551,-0.26887552197503023,0.4409732885311692,0.2629883679340646,0.5472146182685639,0.5367183382699329,0.1612440206290689,0.3374340949033392
97,6,0.543647,102,62,38,9,52,0.417768,0.39179831353110234,-0.012487544806346017,0.009513653501923248,0.001747,-0.2681493758369505,0.4497689856185479,0.2639116836837949,0.5472146182685639,0.5367183382699329,0.1612440206290689,0.3374340949033392
98,2,-0.728241,100,85,15,14,71,0.416963,0.39096280427334484,-0.011272385517431115,0.009513653501923248,0.001405,-0.2775620506485547,0.4570261540713151,0.2638492143818994,0.5472146182685639,0.5367183382699329,0.1612440206290689,0.3374340949033392
99,4,-0.632053,100,81,19,12,68,0.416513,0.3903208087772819,-0.011272385517431115,0.020385073842859217,0.00135,-0.2806933469199371,0.4555797385373344,0.26423626958300894,0.5472146182685639,0.5367183382699329,0.1612440206290689,0.3374340949033392
100,4,-0.313379,100,75,25,11,63,0.415985,0.3896672140060401,-0.015780092077876135,0.025493611069012333,0.00135,-0.28273953707250293,0.4550368249451014,0.2638092720217515,0.5472146182685639,0.5367183382699329,0.1612440206290689,0.3374340949033392
101,2,0.39436,101,75,25,12,63,0.416534,0.39020879408178855,-0.012233072608618119,0.025493611069012333,0.001324,-0.29370048349645117,0.4588803554270752,0.26146143813825634,0.5472146182685639,0.5367183382699329,0.1612440206290689,0.3374340949033392
102,1,-0.759611,101,72,28,12,60,0.415804,0.3893918006177363,-0.012233072608618119,0.030831360123000355,0.001324,-0.2811786899319574,0.4554227616791627,0.26383050075961556,0.5472146182685639,0.5367183382699329,0.1612440206290689,0.3374340949033392
