,party_mentioned,post_stance,author_id,num_of_agents_received,num_of_agents_not_received,num_of_spreader_agents,num_of_disinterested_agents,network_polarization,net_polarization2,network_homophily,network_homophily2,network_polarity,satisfaction,activity,user_preference
3112,2,-0.315285,101,90,2,14,76,0.486856,0.41821662532619824,0.004656751588485287,0.0945470508522022,-0.036229,-12.836756947734091,0.5228718621359222,0.35878563767623456
3113,6,0.498935,100,88,4,14,74,0.48767,0.4189867204104846,0.005000260713982732,0.0945470508522022,-0.036067,-12.848895595921794,0.5199510932038834,0.35732932699662295
3114,2,0.447121,101,90,2,14,76,0.488295,0.41949962157665993,0.005182837477193394,0.0945470508522022,-0.03631,-12.870153809967102,0.516268422330097,0.35446511534613745
3115,6,-0.730364,100,88,4,14,74,0.487479,0.4187295264923735,0.005634830328997856,0.0945470508522022,-0.036472,-12.852384699934738,0.5187149805825242,0.35592142602574917
3116,2,0.578026,101,90,2,14,76,0.487985,0.41909078731376653,0.005634830328997856,0.0945470508522022,-0.036714,-12.879866758834416,0.5134938660194175,0.35327994602574914
3117,6,0.50125,100,88,4,14,74,0.488801,0.4198608823980529,0.005182837477193394,0.0945470508522022,-0.036553,-12.892061732103024,0.5111390844660192,0.35182363534613753
3118,2,0.056071,101,90,2,14,76,0.489208,0.4201185185179957,0.005900891839334801,0.0945470508522022,-0.03678,-12.894727605371633,0.5060883883495144,0.34971893819403393
3119,6,0.414172,100,88,4,14,74,0.49004,0.420888613602282,0.007924424456028983,0.09925431324974744,-0.036618,-12.904804052264838,0.5033187194174756,0.34826262751442233
3120,2,0.449078,101,84,3,9,75,0.490466,0.421249874423675,0.006798415640999324,0.0992602972685307,-0.036861,-12.928061944497847,0.5003459339805825,0.3443791323687913
3121,1,0.664461,101,83,3,9,74,0.490703,0.42147138826066083,0.005914921165062846,0.0992602972685307,-0.036942,-12.941320298154805,0.49676840388349514,0.3424373847959757
3122,1,0.379649,101,84,3,9,75,0.490947,0.4216929020976467,0.005914921165062846,0.0992602972685307,-0.037023,-12.948895633106261,0.492870254368932,0.3404956372231602
3123,1,0.707972,101,83,3,9,74,0.491198,0.4219144159346326,0.005914921165062846,0.0992602972685307,-0.037104,-12.963022185145094,0.4887597941747573,0.3385538896503447
3124,1,0.373446,101,84,3,9,75,0.491347,0.4220617950525405,0.005914921165062846,0.0992602972685307,-0.037258,-12.970473747539918,0.48464030776699024,0.33661214207752915
3125,1,-0.209104,100,88,2,12,76,0.490786,0.4216020188664507,0.005377365847006617,0.0992602972685307,-0.036813,-12.966906407886658,0.4907204330097086,0.3385555719249632
3126,6,0.720277,100,88,2,12,76,0.491417,0.4222085802455798,0.008377913024060279,0.0992602972685307,-0.036813,-12.974446866541305,0.4881119815533979,0.3395096602744778
3127,6,-0.62725,100,88,2,12,76,0.490786,0.4216020188664507,0.005377365847006617,0.0992602972685307,-0.036813,-12.967941190785412,0.4906547067961164,0.3391015369735069
3128,6,-0.490132,100,88,2,12,76,0.490076,0.4209259300353832,0.0030226035281855743,0.0992602972685307,-0.036732,-12.962810083684161,0.49362474368932036,0.33878263017739046
